t,v_10,v_90
0,-93.4245,-78.046
0.033333333,-93.4245,-78.046
0.066666667,-93.4245,-78.046
0.1,-93.4245,-78.046
0.133333333,-93.4245,-78.046
0.166666667,-93.4245,-78.046
0.2,-93.4245,-78.046
0.233333333,-93.4245,-78.046
0.266666667,-93.4245,-78.046
0.3,-93.4245,-78.046
0.333333333,-93.4245,-78.046
0.366666667,-93.4245,-78.046
0.4,-93.4245,-78.046
0.433333333,-93.4245,-78.046
0.466666667,-93.4245,-78.046
0.5,-93.4245,-78.046
0.533333333,-93.4245,-78.046
0.566666667,-93.4245,-78.046
0.6,-93.4245,-78.046
0.633333333,-93.4245,-78.046
0.666666667,-93.4245,-78.046
0.7,-93.4245,-78.046
0.733333333,-93.4245,-78.046
0.766666667,-93.4245,-78.046
0.8,-93.4245,-78.046
0.833333333,-93.4245,-78.046
0.866666667,-93.4245,-78.046
0.9,-93.4245,-78.046
0.933333333,-93.4245,-78.046
0.966666667,-93.4245,-78.046
1,-93.4245,-78.046
1.033333333,-93.4245,-78.046
1.066666667,-93.4245,-78.046
1.1,-93.4245,-78.046
1.133333333,-93.4245,-78.046
1.166666667,-93.4245,-78.046
1.2,-93.4245,-78.046
1.233333333,-93.4245,-78.046
1.266666667,-93.4245,-78.046
1.3,-93.4245,-78.046
1.333333333,-93.4245,-78.046
1.366666667,-93.4245,-78.046
1.4,-93.4245,-78.046
1.433333333,-93.4245,-78.046
1.466666667,-93.4245,-78.046
1.5,-93.4245,-78.046
1.533333333,-93.4245,-78.046
1.566666667,-93.4245,-78.046
1.6,-93.4245,-78.046
1.633333333,-93.4245,-78.046
1.666666667,-93.4245,-78.046
1.7,-93.4245,-78.046
1.733333333,-93.4245,-78.046
1.766666667,-93.4245,-78.046
1.8,-93.4245,-78.046
1.833333333,-93.4245,-78.046
1.866666667,-93.4245,-78.046
1.9,-93.4245,-78.046
1.933333333,-93.4245,-78.046
1.966666667,-93.4245,-78.046
2,-93.4245,-78.046
2.033333333,-93.4245,-78.046
2.066666667,-93.4245,-78.046
2.1,-93.4245,-78.046
2.133333333,-93.4245,-78.046
2.166666667,-93.4245,-78.046
